"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Talking About This (Post) by action type - comment","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - other","Lifetime Talking About This (Post) by action type - share","Lifetime Post Stories by action type - comment","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - other","Lifetime Post Stories by action type - share","Lifetime Post Consumers","Lifetime Post Consumptions","Lifetime Post consumers by type - link clicks","Lifetime Post consumers by type - other clicks","Lifetime Post consumers by type - photo view","Lifetime Post Consumptions by type - link clicks","Lifetime Post Consumptions by type - other clicks","Lifetime Post Consumptions by type - photo view","Lifetime Negative feedback","Lifetime Negative Feedback from Users","Lifetime Negative feedback - hide_all_clicks","Lifetime Negative feedback - hide_clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Average time video viewed","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Video length","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views"
,,,,,,,,"Lifetime: The total number of people your Page post was served to. (Unique Users)","Lifetime: The number of people who saw your Page post in news feed or ticker, or on your Page's timeline. (Unique Users)","Lifetime: The number of people your advertised Page post was served to. (Unique Users)","Lifetime: The number of impressions of your Page post. (Total Count)","Lifetime: The number of impressions of your post in News Feed or ticker or on your Page's Timeline. (Total Count)","Lifetime: The number of impressions of your Page post in an Ad or Sponsored Story. (Total Count)","Lifetime: The number of people who clicked anywhere in your posts. (Unique Users)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,,"Lifetime: The number of people who clicked anywhere in your post. (Unique Users)","Lifetime: The number of clicks anywhere in your post. (Total Count)","Lifetime: The number of people who clicked anywhere in your post, by type. (Unique Users)",,,"Lifetime: The number of clicks anywhere in your post, by type. (Total Count)",,,"Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,"Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Average time video viewed (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Length of a video post (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)"
218401071574147_1033255953421984,https://www.facebook.com/nycaascpage/posts/1033255953421984,"Love comics? Ever wanted to create your own? Come join manga editor Anne Ishii and letterer-illustrator Hannah K. Lee at their delightful all-day workshop, &quot;Drawing Ourselves in Mini-Comics and Zines&quot;, at #NYCAASC2016. Learn the techniques and strategies of designing mini-comics and zines with a narrative and artistic style that you can truly call &quot;your own&quot;!",Link,,,"04/16/2016 03:40:29 PM"," ",198,198,0,384,384,0,10,1,8,,,1,8,,,2,3,,2,,,3,,0,0,,,,,258,90,0,0,9,0,0,0,0,0,0,0,0,0,0
218401071574147_1029517347129178,https://www.facebook.com/nycaascpage/posts/1029517347129178,"ATTENTION #NYCAASC2016 ATTENDEES! We’re doing another giveaway! This time, we’re handing out seven (7) free I-CE NY gift cards to seven (7) lucky attendees! You’ll be able to redeem the card for free ice cream on your next visit to their store.

To be eligible for the giveaway, all you have to do is be registered on Eventbrite for the 10th Annual NYCAASC by this Saturday, 4/16 at 11:59pm. That’s it! If you haven't already, you can register at nycaasc.com/registration

We will be announcing the winners of this giveaway at the conference. ***Please make sure you are attending on the day of, or you won’t be able to get a chance to win***. Also, stay tuned for more giveaways in the coming days!

Like I-CE NY on Facebook!

Image courtesy of http://icenyicecream.com/",Link,,,"04/14/2016 02:00:00 PM"," ",492,492,0,917,917,0,40,3,29,,1,3,31,,1,15,28,3,14,,4,24,,0,0,,,,,310,116,0,0,23,0,0,0,0,0,0,0,0,0,0
218401071574147_1031421153605464,https://www.facebook.com/nycaascpage/posts/1031421153605464,"Check out another one of our highlighted workshops at #NYCAASC2016, &quot;Adapted Spaces: How Transnational Adoptees are Making Their Place in the Asian American Narrative&quot;! Featuring an all-star panel, including actress and producer Jenna Ushkowitz, best known for her role in the 3-time Emmy-nominated FOX television series, Glee!",Photo,,,"04/13/2016 03:14:37 PM"," ",291,291,0,565,565,0,30,,6,,,,6,,,26,40,1,26,2,1,37,2,0,0,,,,,361,128,0,0,26,0,0,0,0,0,0,0,0,0,0
218401071574147_1030827556998157,https://www.facebook.com/nycaascpage/posts/1030827556998157,"Sign up for the &quot;Far Beyond the Stars&quot; workshop at #NYCAASC2016!",Link,,,"04/12/2016 03:54:36 PM"," ",217,217,0,429,429,0,10,,2,,,,2,,,8,8,,8,,,8,,0,0,,,,,310,123,0,0,10,0,0,0,0,0,0,0,0,0,0
218401071574147_1029540513793528,https://www.facebook.com/nycaascpage/posts/1029540513793528:0,"We are so excited to announce that our Keynote Speaker at the 10th Annual New York City Asian American Student Conference is Cathy Dang, Executive Director of CAAAV: Organizing Asian Communities!

--------

Cathy has had a long history with grassroots organizing in addition to her work with CAAAV. For nearly a decade, she has led campaigns locally and nationally for just living and working conditions in immigrant and communities of color. Before becoming Executive Director, she served as CAAAV’s Lead Organizer. Cathy has roots in Queens, NY and Los Angeles, CA.

Caaav: Organizing Asian Communities, founded in 1986, is a pan-Asian grassroots organization that organizes low-income Asian immigrant communities in New York City toward institutional change. With over 300 members today, CAAAV continues to fight for racial, gender, and economic justice on local and national scales.

--------

Register for The 10th Annual NYCAASC: Checkpoints at nycaasc.com/registration

For more information about CAAAV: Organizing Asian Communities and their work, visit their website at http://caaav.org/",Photo,,,"04/11/2016 04:05:00 PM"," ",1168,1168,0,4544,4544,0,73,2,32,,1,2,38,,1,58,135,1,35,30,2,61,72,0,0,,,,,4206,963,0,0,50,0,,,,,0,,,,
218401071574147_1029516157129297,https://www.facebook.com/nycaascpage/posts/1029516157129297,"ATTENTION #NYCAASC2016 ATTENDEES! We'll be giving away seven (7) free Dos Toros gift cards to you, our beloved attendees, on the day of the conference! Each card is worth one (1) free burrito, burrito bowl, or tacos at your next visit to Dos Toros.

To be eligible for the giveaway, all you have to do is be registered on Eventbrite for the 10th Annual NYCAASC by this Wednesday, 4/13 at 11:59pm. That’s it! If you haven’t already, you can register at nycaasc.com/registration

We will be announcing the winners of this giveaway at the conference. ***Please make sure you are attending on the day of, or you won’t be able to get a chance to win***. Also, stay tuned for more giveaways in the coming days!

Check out our good friends at Dos Toros Taqueria!

Image courtesy of https://brookfieldplaceny.com/directory/dos-toros-taqueria",Link,,,"04/11/2016 02:00:00 PM"," ",576,576,0,1094,1094,0,27,,13,,1,,14,,1,18,27,7,15,,7,20,,0,0,,,,,338,123,0,0,20,0,0,0,0,0,0,0,0,0,0
218401071574147_1029536373793942,https://www.facebook.com/nycaascpage/posts/1029536373793942,"We will be conducting several giveaways in the next two weeks before the conference! Stay tuned for more information.

To be eligible for each giveaway, all you have to do is be registered for the conference before they expire. That's it! (If you want to register but haven't done so already, you can do so at nycaasc.com/registration .)

We will also be making several special announcements about this year's conference in the coming days, so keep an eye out on our Facebook page for those as well!

--&gt; (Once you've registered, make sure to show that you're &quot;going&quot; on our Facebook event page! http://on.fb.me/1QAk2wj )

#NYCAASC2016",Link,,,"04/10/2016 03:00:00 PM"," ",147,147,0,262,262,0,6,,5,,,,5,,,2,6,1,2,,1,5,,0,0,,,,,173,76,0,0,6,0,0,0,0,0,0,0,0,0,0
218401071574147_1022157227865190,https://www.facebook.com/nycaascpage/posts/1022157227865190,"Interested in volunteering? Sign-up here! http://bit.ly/NYCAASCVolunteerForm",Link,,,"04/04/2016 05:33:00 PM"," ",616,616,0,1089,1089,0,30,,19,,,,20,,,21,29,7,15,,9,20,,0,0,,,,,574,267,0,0,26,0,0,0,0,0,0,0,0,0,0
218401071574147_1024978664249713,https://www.facebook.com/nycaascpage/posts/1024978717583041,"Imagine, if each person was a point on the page...

JOIN THE EVENT &amp; RSVP http://on.fb.me/1QAk2wj

LEARN MORE www.nycaasc.com/conference",Photo,,,"04/03/2016 08:25:04 AM"," ",0,0,0,0,0,0,33,,11,,,,12,,,23,46,,,23,,,46,0,0,,,,,0,0,0,0,23,0,,,,,0,,,,
218401071574147_1016672445080335,https://www.facebook.com/nycaascpage/posts/1016672445080335,"NYCAASC members take a short break each week to answer questions from the silly to serious! 2016 marks our 10th anniversary, so we ask them where do they see NYCAASC in 10 years: https://youtu.be/zXWAuBlbRJ4",Link,,,"04/01/2016 02:45:00 PM"," ",693,693,0,1210,1210,0,33,1,18,,2,1,21,,2,19,25,6,14,,6,19,,0,0,,,,,527,246,0,0,24,0,0,0,0,0,0,0,0,0,0
